"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Ministério da Fazenda";"Custos com Transferências do Governo Federal";"Este conjunto de dados contém os Custos com Transferências do Governo Federal detalhados por esfera orçamentária, modalidade de aplicação e Resultado EOF (Execução Orçamentária e Financeira). ";"Contabilidade Aplicada ao Setor Público,Contabilidade Pública,Custos,Custos da União,Finanças Públicas,Gestão de Custos,Transferência";"3";"0";"77";"0"
"Ministério da Fazenda";"Custos do Governo Federal - Demais Itens";"Este conjunto de dados contém os demais custos do Governo Federal, como Tecnologia da Informação, Material de Consumo e Benefícios Previdenciários.";"Contabilidade Aplicada ao Setor Público,Contabilidade Pública,Custos,Custos da União,Finanças Públicas,Gestão de Custos";"2";"0";"70";"0"
"Ministério da Fazenda";"Demonstrativos das Contas Anuais dos Entes da Federação";"Contempla a consolidação das Contas Anuais dos Entes da Federação. É composto por quatro grandes demonstrativos: dois patrimoniais, o Balanço Patrimonial (BP) e a Demonstração das Variações Patrimoniais (DVP), e dois orçamentários, o Demonstrativo da Execução Orçamentária e o Demonstrativo das Despesas por Função. A estrutura dos Demonstrativos das Contas Anuais está definida conforme discriminação abaixo: Anexo I AB Balanço Patrimonial. Anexo I C Balanço Orçamentário – Receitas Orçamentárias. Anexo I D Balanço Orçamentário - Despesas por categoria econômica. Anexo I E Balanço Orçamentário – Despesas por função. Anexo I F Execução dos Restos a Pagar – Despesas por categoria econômica. Anexo I G Balanço Orçamentário – Execução dos Restos a Pagar – Despesas por função. Anexo I HI Demonstrativo das Variações Patrimoniais.";"BSPN,Consolidação de Contas,Contabilidade Pública,LRF";"2";"0";"113";"0"
"Ministério da Fazenda";"Despesas com o Novo SIAFI - Ambiente de Produção";"Este conjunto de dados apresenta as despesas utilizadas para custeio do ambiente de produção do Novo SIAFI em cada Exercício Financeiro.  ";"Gestão Corporativa,SIAFI";"2";"0";"21";"0"
"Ministério da Fazenda";"Despesas com o Sistema Integrado de Administração Financeira - SIAFI - Ambiente de Produção";"Este conjunto de dados apresenta as despesas utilizadas para custeio do ambiente de produção do SIAFI Operacional em cada Exercício Financeiro.  ";"Gestão Corporativa,SIAFI";"2";"0";"20";"0"
"Ministério da Fazenda";"Despesas da União mensais desde 2008";"Despesas pagas (conceito ""valor pago"", que inclui pagamentos de despesas do exercício e de restos a pagar) pela União (escopo dos Orçamentos Fiscal e da Seguridade Social), mês a mês, por:
* mês, 
* Esfera Orçamentária, 
* Função, Subfunção, 
* Programa, 
* Ação, 
* Grupo de Despesa, 
* Modalidade de Aplicação, 
* indicador de Resultado Primário, 
* indicador de Exceção ao Decreto de Programação Financeira e 
* indicador de despesas do RGPS (apresenta o valor ""VERDADEIRO"" / ""TRUE"" para as despesas atribuídas às unidades orçamentárias do Fundo do Regime Geral de Previdência Social).";"Despesas,Despesas Pagas,Orçamento,Previdência";"2";"0";"70";"1"
"Ministério da Fazenda";"Despesas e Transferências Totais da União (critério valor pago)";"A base de Despesas e Transferências totais da União é um dos documentos públicos mais completos em termos de detalhamento dos gastos da União. Além dos múltiplos parâmetros contábeis-orçamentários, a base acrescenta a classificação presente no Resultado do Tesouro Nacional (RTN), classificação dos gastos sujeitos ao Teto dos Gastos (EC nº 95/2016) e a classificação dos gastos sujeitos aos limites para as dotações de despesas primárias previstos na Lei Complementar nº 200/2023 (LC 200). A partir de simples manipulações é possível saber, por exemplo, a despesa de pessoal, investimento, despesa por órgão, etc.

Ressalta-se que, a partir de 2024, passou a vigorar o limite de despesas previsto na LC 200, em substituição ao antigo teto de gastos previsto na Emenda Constitucional nº 95/2016 (EC 95). O Tesouro Nacional disponibiliza as Bases de Dados de 2008 em diante com gastos classificados de acordo com o Resultado do Tesouro Nacional. Com relação ao limite de despesas, de 2016 até 2023 as bases de dados também estão classificadas de acordo com a sujeição ao Regime Fiscal da EC 95, sendo substituída, nas bases a partir de 2024, pela classificação de acordo com o limite da LC 200.

Por fim, é importante mencionar que também estão disponibilizadas as notas técnicas de metodologia e atualização de filtros, tanto do antigo teto de gastos previsto na EC 95, quanto do limite de despesas atualmente em vigor, previsto na LC 200.
 ";"95,Resultado Fiscal,Resultado do Tesouro Nacional,emenda constitucional,política fiscal,sujeitas ao teto,teto dos gastos";"43";"0";"316";"4"
"Ministério da Fazenda";"Despesas por Função do Governo Central - Classificação COFOG";"Este conjunto de dados apresenta as estatísticas de despesas do governo central brasileiro seguindo a Classificação por Função de Governo (COFOG - Classification of Functions of Government) da OCDE/ONU . 

De acordo com o manual de estatísticas do FMI denominado Government Finance Statistics Manual 2014 – GFSM 2014:  “... a classificação por Funções de Governo (COFOG) é a classificação detalhada das funções, ou objetivos socioeconômicos, que as unidades do governo geral pretendem alcançar por meio de distintos tipos de gasto. A COFOG fornece uma classificação dos gastos do governo por funções que são de interesse geral e úteis para uma ampla variedade de aplicações analíticas. Estatísticas sobre saúde, educação, proteção social e proteção ambiental, por exemplo, podem ser usadas para estudar a eficácia de programas governamentais nessas áreas”.

São disponibilizadas as bases de dados do governo central orçamentário com a classificação das despesas extraídas do SIAFI linha por linha a partir de 2010, com os devidos ajustes metodológicos. Para mais informações consultar: https://www.tesourotransparente.gov.br/publicacoes/cofog-despesas-por-funcao-do-governo-geral";"COFOG,Despesas por Função,Estatísticas Fiscais,FMI,GFS,Gasto";"15";"0";"90";"0"
"Ministério da Fazenda";"Destinações de Mercadorias Apreendidas";"A gestão de mercadorias apreendidas compreende o controle, o gerenciamento, a guarda e a destinação de produtos abandonados, entregues à Fazenda Nacional ou objeto de pena de perdimento, administrados pela Secretaria Especial de Receita Federal do Brasil (RFB). Conforme previsto no artigo 29, item II, do Decreto-lei nº 1455, de 7 de abril  de 1976, atualmente regulamentado pelo Decreto nº 6.759, de 5 de fevereiro de 2009 e pela Portaria MF n° 282, de 09 de junho de 2011, a destinação de mercadorias apreendidas, pode ocorrer nas seguintes  modalidades:

- Destruição;
- Leilão e
- Doação e incorporação.

O primeiro conjunto de dados traz informações sobre a destruição de cigarros apreendidos pela RFB. De acordo com a legislação vigente, devem ser destruídos artigos como cigarros e demais derivados do tabaco, simulacros de armas de fogo, produtos falsificados e que ferem os direitos autorais, dentre outros. A destruição ou inutilização de mercadorias apreendidas é efetuada por meio de procedimento que descaracterize os produtos, tornando-os impróprios para os fins a que se destinavam originalmente ou retirando a sua atratividade comercial nos termos da Portaria RFB n° 200/2022.

A segunda base de dados trata de informações relevantes dos leilões de mercadorias apreendidas pela RFB. Conforme dispõem a Lei nº 8.666/93 e a Lei n° 14.133/2021,  leilão é a modalidade de licitação a ser adotada entre quaisquer interessados para a venda de produtos legalmente apreendidos a quem oferecer maior lance, igual ou superior ao valor da avaliação.";"arrecadação em leilões pela RFB,destruição de cigarros,mercadorias apreendidas,receita federal";"4";"0";"6895";"47"
"Ministério da Fazenda";"Devedores da União e do FGTS";"A PGFN publica trimestralmente a base completa dos créditos inscritos em dívida ativa da União e do FGTS, atendendo às melhores práticas de transparência ativa previstas na Lei de Acesso à Informação (Lei nº 12.527/2011), na Política de Dados Abertos (Decreto nº 8.777/2016) e no Acórdão TCU-Plenário nº 2497/2019.

A publicação abrange todos os créditos ativos, inclusive os garantidos, suspensos por decisão judicial e parcelados, indicando-se a situação respectiva.

Os dados disponíveis estão em formato aberto (.CSV) e foram segmentados por sistema de origem da dívida e por Estado, a fim de facilitar pesquisa do usuário.

Os números dos CPFs dos devedores pessoa física foram parcialmente mascarados, preservando-se este dado pessoal nos termos da Lei Geral de Proteção de Dados (Lei nº 13.709/2018).

Salienta-se que os débitos inscritos em dívida ativa não estão cobertos por sigilo, conforme disposto no art. 198, §3º, II, do Código Tributário Nacional.

Para uma melhor compreensão do teor dos arquivos, acesse o dicionário de campos.";"Ativa,Devedor,Dívida,Dívida Ativa,FGTS,União";"4";"0";"2344";"17"
